title,link,price,,
Hatıralar Bahçesinde Buluşma,https://kultur.istanbul/etkinlik/hatiralar-bahcesinde-bulusma/,0,,
Harbiye Açık Hava etkinlikleri,https://kultur.istanbul/etkinlik/harbiye-acik-hava-etkinlikleri/,,,
Park Of İstanbul - Hayvanat Bahçesi ve Serpme Kahvaltı,https://www.bubilet.com.tr/istanbul/etkinlik/park-of-istanbul-hayvanat-bahcesi-ve-serpme-kahvalti-,450,,
Eser Diamond Aquapark,https://www.bubilet.com.tr/istanbul/etkinlik/eser-diamond-aquapark,499,,
İstanbul Workshops Boğazda Kano Deneyimi - Kız Kulesi'ne Kürek Çek,https://www.bubilet.com.tr/istanbul/etkinlik/istanbul-workshops-bogazda-kano-deneyimi-kiz-kulesine-kurek-cek,1125,,
İstanbul Workshops Parfüm Atölyesi,https://www.bubilet.com.tr/istanbul/etkinlik/istanbul-workshops-parfum-atolyesi,1100,,
İstanbul Workshops Mozaik Lamba Atölyesi,https://www.bubilet.com.tr/istanbul/etkinlik/istanbul-workshops-mozaik-lamba-atolyesi,1400,,
İstanbul Workshops Hat Sanatı Atölyesi,https://www.bubilet.com.tr/istanbul/etkinlik/istanbul-workshops-hat-sanati-atolyesi,1790,,
İstanbul Workshops Çini Atölyesi,https://www.bubilet.com.tr/istanbul/etkinlik/istanbul-workshops-cini-atolyesi,1790,,
Pirinç Çerçeveli Cam Üzerine Hat/Kaligrafi Sanatı Atölyesi,https://biletinial.com/tr-tr/egitim/pirinc-cerceveli-cam-uzerine-hat-kaligrafi-sanati-atolyesi,1790,,
Türk Çini Resim Sanatı Atölyesi,https://biletinial.com/tr-tr/egitim/turk-cini-resim-sanati-atolyesi,1790,,
Vitray Atölyesi,https://biletinial.com/tr-tr/egitim/vitray-atolyesi,1100,,
Tezhip Atölyesi,https://biletinial.com/tr-tr/egitim/tezhip-atolyesi,1790,,
Selimpaşa Premier Vista Hotel’de Günübirlik Havuz,https://www.bubilet.com.tr/istanbul/etkinlik/selimpasa-premier-vista-hotelde-gunubirlik-havuz-,429,,
Emaar SkyView ve SkyWalk,https://www.bubilet.com.tr/istanbul/etkinlik/emaar-skyview-ve-skywalk,789,,
Kumburgaz Respiro Park Aquapark,https://www.bubilet.com.tr/istanbul/etkinlik/kumburgaz-respiro-park-aquapark,649,,
Emaar Akvaryum & Sualtı Hayvanat Bahçesi,https://www.bubilet.com.tr/istanbul/etkinlik/emaar-akvaryum-sualti-hayvanat-bahcesi,679,,
Mozaik Lamba Atölyesi – Ayasofya Karşısında Film Gösterimli,https://www.bubilet.com.tr/istanbul/etkinlik/mozaik-lamba-atolyesi-ayasofya-karsisinda-film-gosterimli,,,
