slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
aaron-wan-bissaka,1062,0,2742,2100,0.1095,0.2345,0.3595,True
abde-ezzalzouli,1034,0,2398,1704,0.1144,0.2394,0.3644,True
adam-wharton,1483,130,2359,1226,0.1496,0.2746,0.3996,False
aitor-paredes,70,0,390,400,0.0875,0.2125,0.3375,True
alan-varela,216,0,424,260,0.1308,0.2558,0.3808,True
aleksandar-pavlovic,1334,0,3114,2224,0.1425,0.2675,0.3925,True
amad-diallo,1898,308,3121,1836,0.1499,0.2749,0.3999,False
amadou-onana,794,0,3069,2844,0.1477,0.2727,0.3977,True
anatoliy-trubin,1680,0,3760,2600,0.1362,0.2612,0.3862,True
angelo-stiller,1374,16,2062,876,0.15,0.275,0.4,False
anthony-elanga,1424,0,3044,2024,0.0405,0.1655,0.2905,True
antonio-nusa,2326,120,4166,2420,0.15,0.275,0.4,False
archie-gray,864,149,2089,1681,0.1501,0.2751,0.4001,False
arda-guler,1741,79,3885,2759,0.15,0.275,0.4,False
arthur-vermeeren,1313,169,2273,1369,0.15,0.275,0.4,False
ayyoub-bouaddi,1998,278,2853,1346,0.1498,0.2748,0.3998,False
baris-alper-yilmaz,1076,0,2688,2016,0.1488,0.2738,0.3988,True
benat-prados,1259,325,2007,1261,0.1496,0.2746,0.3996,False
benjamin-sesko,1866,0,3891,2532,0.1114,0.2364,0.3614,True
brian-brobbey,1594,0,3209,2018,0.0986,0.2941,0.4896,True
caglar-soyuncu,855,340,3550,3708,0.1499,0.2749,0.3999,False
can-uzun,974,0,2694,2150,0.0433,0.1884,0.3335,True
carlos-baleba,1350,55,2134,1035,0.15,0.275,0.4,False
castello-lukeba,1183,0,3193,2512,0.1501,0.2751,0.4001,False
claudio-echeverri,1004,215,1941,1387,0.1502,0.2752,0.4002,False
conor-bradley,948,0,3266,2897,0.117,0.2435,0.37,True
crysencio-summerville,1152,410,1878,1318,0.1498,0.2748,0.3998,False
davinson-sanchez,1221,209,2716,2077,0.1499,0.2749,0.3999,False
desire-doue,2138,350,3142,1606,0.1497,0.2747,0.3997,False
eliesse-ben-seghir,1034,20,2291,1592,0.1501,0.2751,0.4001,False
elye-wahi,973,74,2199,1606,0.1501,0.2751,0.4001,False
endrick,844,0,2581,2172,0.0856,0.2106,0.3356,True
enzo-millot,1976,120,3425,1932,0.1501,0.2751,0.4001,False
ernest-muci,871,219,1655,1199,0.15,0.275,0.4,False
estevao,1124,59,1994,1147,0.1498,0.2748,0.3998,False
ethan-nwaneri,1109,0,2331,1528,0.1394,0.2644,0.3894,True
fermin-lopez,1130,0,2858,2160,0.0917,0.2326,0.3736,True
fran-garcia,2563,261,3670,1645,0.1503,0.2753,0.4003,False
francesco-camarda,659,119,1945,1727,0.1499,0.2749,0.3999,False
francisco-conceicao,805,0,2853,2560,0.1746,0.3117,0.4488,True
franco-mastantuono,923,0,2564,2052,0.0677,0.2512,0.4347,True
gabriel-sara,1161,479,1949,1463,0.1504,0.2754,0.4004,False
george-ilenikhena,1458,512,2206,1448,0.1496,0.2746,0.3996,False
georginio-rutter,1314,281,1897,1009,0.1497,0.2747,0.3997,False
geovany-quenda,1717,0,2930,1516,0.1471,0.2721,0.3971,True
gerson,1051,59,2692,2111,0.1501,0.2751,0.4001,False
gianluca-prestianni,113,28,349,324,0.1486,0.2736,0.3986,False
giuliano-simeone,1193,139,2380,1623,0.1503,0.2753,0.4003,False
guillaume-restes,1106,9,2306,1509,0.15,0.275,0.4,False
hector-fort,1326,509,2357,1797,0.1498,0.2748,0.3998,False
hiroki-ito,1309,0,3558,2812,0.1284,0.264,0.3997,True
hugo-ekitike,944,0,2672,2160,0.0278,0.2289,0.4301,True
hugo-larsson,225,0,507,352,0.1449,0.2699,0.3949,True
ian-maatsen,1762,128,2876,1520,0.1501,0.2751,0.4001,False
igor-paixao,1512,430,2353,1482,0.1502,0.2752,0.4002,False
inaki-pena,1336,0,2930,1992,0.1155,0.2405,0.3655,True
inigo-martinez,1330,375,2761,2163,0.1499,0.2749,0.3999,False
irfan-can-kahveci,1012,0,3096,2605,0.0676,0.2044,0.3413,True
ismail-yuksek,200,0,450,312,0.1474,0.2724,0.3974,True
jamie-gittens,1791,264,4779,4000,0.6097,0.7347,0.8597,True
