Format,Scope,Constraint,Lobby size
Auction,All players,Not applicable,2
Auction,All players,Not applicable,3
Auction,All players,Not applicable,4
Auction,All players,Not applicable,5
Auction,Top 5 leagues,Not applicable,2
Auction,Top 5 leagues,Not applicable,3
Auction,Top 5 leagues,Not applicable,4
Auction,Top 5 leagues,Not applicable,5
Auction,League: Serie A,Not applicable,2
Auction,League: Serie A,Not applicable,3
Auction,League: Serie A,Not applicable,4
Auction,League: Serie A,Not applicable,5
Auction,League: Premier Division,Not applicable,2
Auction,League: Premier Division,Not applicable,3
Auction,League: Premier Division,Not applicable,4
Auction,League: Premier Division,Not applicable,5
Auction,League: First Division,Not applicable,2
Auction,League: First Division,Not applicable,3
Auction,League: First Division,Not applicable,4
Auction,League: First Division,Not applicable,5
Auction,League: Bundesliga,Not applicable,2
Auction,League: Bundesliga,Not applicable,3
Auction,League: Bundesliga,Not applicable,4
Auction,League: Bundesliga,Not applicable,5
Auction,League: Ligue 1 Uber Eats,Not applicable,2
Auction,League: Ligue 1 Uber Eats,Not applicable,3
Auction,League: Ligue 1 Uber Eats,Not applicable,4
Auction,League: Ligue 1 Uber Eats,Not applicable,5
Auction,Nationality: Algeria,Not applicable,2
Auction,Nationality: Algeria,Not applicable,3
Auction,Nationality: Algeria,Not applicable,4
Auction,Nationality: Algeria,Not applicable,5
Auction,Nationality: Argentina,Not applicable,2
Auction,Nationality: Argentina,Not applicable,3
Auction,Nationality: Argentina,Not applicable,4
Auction,Nationality: Argentina,Not applicable,5
Auction,Nationality: Armenia,Not applicable,2
Auction,Nationality: Armenia,Not applicable,3
Auction,Nationality: Armenia,Not applicable,4
Auction,Nationality: Armenia,Not applicable,5
Auction,Nationality: Austria,Not applicable,2
Auction,Nationality: Austria,Not applicable,3
Auction,Nationality: Austria,Not applicable,4
Auction,Nationality: Austria,Not applicable,5
Auction,Nationality: Belgium,Not applicable,2
Auction,Nationality: Belgium,Not applicable,3
Auction,Nationality: Belgium,Not applicable,4
Auction,Nationality: Belgium,Not applicable,5
Auction,Nationality: Bosnia & Herzegovina,Not applicable,2
Auction,Nationality: Bosnia & Herzegovina,Not applicable,3
Auction,Nationality: Bosnia & Herzegovina,Not applicable,4
Auction,Nationality: Bosnia & Herzegovina,Not applicable,5
Auction,Nationality: Brazil,Not applicable,2
Auction,Nationality: Brazil,Not applicable,3
Auction,Nationality: Brazil,Not applicable,4
Auction,Nationality: Brazil,Not applicable,5
Auction,Nationality: Burkina Faso,Not applicable,2
Auction,Nationality: Burkina Faso,Not applicable,3
Auction,Nationality: Burkina Faso,Not applicable,4
