Format,Scope,Constraint,Lobby size,Result,Simulations run,Detail
Auction,All players,Not applicable,2,OK,5000,
Auction,All players,Not applicable,3,OK,5000,
Auction,All players,Not applicable,4,OK,5000,
Auction,All players,Not applicable,5,OK,5000,
Auction,Top 5 leagues,Not applicable,2,OK,5000,
Auction,Top 5 leagues,Not applicable,3,OK,5000,
Auction,Top 5 leagues,Not applicable,4,OK,5000,
Auction,Top 5 leagues,Not applicable,5,OK,5000,
Auction,League: Serie A,Not applicable,2,OK,5000,
Auction,League: Serie A,Not applicable,3,OK,5000,
Auction,League: Serie A,Not applicable,4,OK,5000,
Auction,League: Serie A,Not applicable,5,OK,5000,
Auction,League: Premier Division,Not applicable,2,OK,5000,
Auction,League: Premier Division,Not applicable,3,OK,5000,
Auction,League: Premier Division,Not applicable,4,OK,5000,
Auction,League: Premier Division,Not applicable,5,OK,5000,
Auction,League: First Division,Not applicable,2,OK,5000,
Auction,League: First Division,Not applicable,3,OK,5000,
Auction,League: First Division,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: First Division,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Bundesliga,Not applicable,2,OK,5000,
Auction,League: Bundesliga,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Bundesliga,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Bundesliga,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Ligue 1 Uber Eats,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Ligue 1 Uber Eats,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Ligue 1 Uber Eats,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,League: Ligue 1 Uber Eats,Not applicable,5,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Algeria,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Algeria,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Algeria,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Algeria,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Argentina,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Argentina,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Argentina,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Argentina,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Armenia,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Armenia,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Armenia,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Armenia,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Austria,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Austria,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Austria,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Austria,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Belgium,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Belgium,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Belgium,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Belgium,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Bosnia & Herzegovina,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Bosnia & Herzegovina,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Bosnia & Herzegovina,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
