Name,Nation,Age,Club,Position,Current Ability,League,Derived Price (EURm),Opening Bid (EURm)
Kevin De Bruyne,Belgium,35,Napoli,AMF,176.0,Serie A,154.84,110
Erling Haaland,Norway,25,Manchester City,ST,181.0,Premier Division,200.00,140
Kylian Mbappé,France,27,Real Madrid,ST,181.0,First Division,200.00,140
Lionel Messi,Argentina,39,Inter Miami,RW,174.0,MLS,139.77,100
Harry Kane,England,32,Bayern Munich,ST,176.0,Bundesliga,154.84,110
Vinícius Júnior,Brazil,26,Real Madrid,LW,177.0,First Division,162.97,115
Thibaut Courtois,Belgium,34,Real Madrid,GK,174.0,First Division,139.77,100
Mohamed Salah,Egypt,34,Trabzonspor,RW,174.0,Super League,139.77,100
Rodri,Spain,30,Manchester City,CDM,174.0,Premier Division,139.77,100
Ederson,Brazil,32,Fenerbahçe,GK,149.0,Serie A,38.87,25
Virgil van Dijk,Netherlands,35,Liverpool,CB,172.0,Premier Division,126.17,90
Bernardo Silva,Portugal,31,Real Madrid,RW,168.0,First Division,102.81,70
Robert Lewandowski,Poland,37,Chicago,ST,175.0,MLS,147.11,105
Jude Bellingham,England,23,Real Madrid,AMF,172.0,First Division,126.17,90
Alisson,Brazil,33,Liverpool,GK,171.0,Premier Division,119.87,85
Declan Rice,England,27,Arsenal,CM,169.0,Premier Division,108.21,75
Neymar,Brazil,34,SAN,LW,167.0,Second Division,97.68,70
Marc-André ter Stegen,Germany,34,Ajax,GK,165.0,Eredivisie,88.17,60
Joshua Kimmich,Germany,31,Bayern Munich,CDM,166.0,Bundesliga,92.80,65
Bukayo Saka,England,24,Arsenal,RW,170.0,Premier Division,113.89,80
Martin Ødegaard,Norway,27,Arsenal,AMF,169.0,Premier Division,108.21,75
Rúben Dias,Portugal,29,Manchester City,CB,169.0,Premier Division,108.21,75
Lautaro Martínez,Argentina,28,Inter,ST,165.0,Serie A,88.17,60
Antoine Griezmann,France,35,Orlando City,ST,168.0,MLS,102.81,70
Bruno Fernandes,Portugal,31,Manchester United,AMF,165.0,Premier Division,88.17,60
Luka Modric,Croatia,40,AC Milan,CM,168.0,Serie A,102.81,70
Jan Oblak,Slovenia,33,Atletico Madrid,GK,164.0,First Division,83.77,60
Ronald Araujo,Uruguay,27,Liverpool,CB,165.0,Premier Division,88.17,60
Eduardo Camavinga,France,23,Real Madrid,CM,167.0,First Division,97.68,70
Heung-Min Son,South Korea,34,LAFC,LW,166.0,MLS,92.80,65
Phil Foden,England,26,Manchester City,RW,166.0,Premier Division,92.80,65
Victor Osimhen,Nigeria,27,Galatasaray,ST,163.0,Super League,79.59,55
Leroy Sané,Germany,30,Galatasaray,RW,163.0,Super League,79.59,55
Rodrygo,Brazil,25,Real Madrid,RW,163.0,First Division,79.59,55
Federico Valverde,Uruguay,27,Real Madrid,CM,168.0,First Division,102.81,70
Ousmane Dembélé,France,29,PSG,RW,164.0,Ligue 1 Uber Eats,83.77,60
Ilkay Gündogan,Germany,35,Galatasaray,CM,163.0,Super League,79.59,55
John Stones,England,32,Inter,CB,162.0,Serie A,75.62,55
Éder Militão,Brazil,28,Real Madrid,CB,163.0,First Division,79.59,55
Antonio Rüdiger,Germany,33,Real Madrid,CB,164.0,First Division,83.77,60
Gabriel Jesus,Brazil,29,Arsenal,ST,162.0,Premier Division,75.62,55
Bruno Guimarães,Brazil,28,Arsenal,CM,163.0,Premier Division,79.59,55
Frenkie de Jong,Netherlands,29,Barcelona,CM,164.0,First Division,83.77,60
Karim Benzema,France,38,Al-Hilal,ST,161.0,Saudi Pro League,71.85,50
Jack Grealish,England,30,Manchester City,LW,161.0,Premier Division,71.85,50
William Saliba,France,25,Arsenal,CB,165.0,Premier Division,88.17,60
Kyle Walker,England,36,Burnley,RB,160.0,Sky Bet Championship,68.26,50
Rafael Leão,Portugal,27,AC Milan,LW,159.0,Serie A,64.85,45
Marquinhos,Brazil,32,PSG,CB,160.0,Ligue 1 Uber Eats,68.26,50
Manuel Neuer,Germany,40,Bayern Munich,GK,159.0,Bundesliga,64.85,45
Luis Díaz,Colombia,29,Bayern Munich,LW,159.0,Bundesliga,64.85,45
Kim Min-Jae,South Korea,29,Bayern Munich,CB,158.0,Bundesliga,61.62,45
Cristian Romero,Argentina,28,Tottenham,CB,160.0,Premier Division,68.26,50
Christopher Nkunku,France,28,AC Milan,ST,157.0,Serie A,58.54,40
Trent Alexander-Arnold,England,27,Real Madrid,RB,162.0,First Division,75.62,55
Pedri,Spain,23,Barcelona,CM,161.0,First Division,71.85,50
Khvicha Kvaratskhelia,Georgia,25,PSG,LW,159.0,Ligue 1 Uber Eats,64.85,45
Kingsley Coman,France,30,Al-Nassr,LW,160.0,Saudi Pro League,68.26,50
Reece James,England,26,Chelsea,RB,156.0,Premier Division,55.62,40
Gianluigi Donnarumma,Italy,27,Manchester City,GK,162.0,Premier Division,75.62,55
Nicolò Barella,Italy,29,Inter,CM,159.0,Serie A,64.85,45
Lucas Hernández,France,30,PSG,CB,158.0,Ligue 1 Uber Eats,61.62,45
Achraf Hakimi,Morocco,27,PSG,RB,158.0,Ligue 1 Uber Eats,61.62,45
Raheem Sterling,England,31,Free Agent,LW,158.0,-,61.62,45
