Name,Nation,Age,Club,Position,Current Ability,League,Derived Price (EURm),Opening Bid (EURm)
Kevin De Bruyne,Belgium,35,Napoli,"AMF, RW, LW",176.0,Serie A,154.84,110
Erling Haaland,Norway,25,Manchester City,ST,181.0,Premier Division,200.00,140
Kylian Mbappé,France,27,Real Madrid,"RW, LW, ST",181.0,First Division,200.00,140
Lionel Messi,Argentina,39,Inter Miami,"AMF, RW, ST",174.0,MLS,139.77,100
Harry Kane,England,32,Bayern Munich,"AMF, ST",176.0,Bundesliga,154.84,110
Vinícius Júnior,Brazil,26,Real Madrid,"RW, LW, ST",177.0,First Division,162.97,115
Thibaut Courtois,Belgium,34,Real Madrid,GK,174.0,First Division,139.77,100
Mohamed Salah,Egypt,34,Trabzonspor,"RW, LW, ST",174.0,Super League,139.77,100
Rodri,Spain,30,Manchester City,"CB, CDM",174.0,Premier Division,139.77,100
Ederson,Brazil,32,Fenerbahçe,GK,149.0,Serie A,38.87,25
Virgil van Dijk,Netherlands,35,Liverpool,CB,172.0,Premier Division,126.17,90
Bernardo Silva,Portugal,31,Real Madrid,"AMF, RW",168.0,First Division,102.81,70
Robert Lewandowski,Poland,37,Chicago,ST,175.0,MLS,147.11,105
Jude Bellingham,England,23,Real Madrid,"CDM, AMF",172.0,First Division,126.17,90
Alisson,Brazil,33,Liverpool,GK,171.0,Premier Division,119.87,85
Declan Rice,England,27,Arsenal,"CB, CDM",169.0,Premier Division,108.21,75
Neymar,Brazil,34,SAN,"AMF, LW, ST",167.0,Second Division,97.68,70
Marc-André ter Stegen,Germany,34,Ajax,GK,165.0,Eredivisie,88.17,60
Joshua Kimmich,Germany,31,Bayern Munich,"RB, CDM",166.0,Bundesliga,92.80,65
Bukayo Saka,England,24,Arsenal,"RW, LW",170.0,Premier Division,113.89,80
Martin Ødegaard,Norway,27,Arsenal,AMF,169.0,Premier Division,108.21,75
Rúben Dias,Portugal,29,Manchester City,CB,169.0,Premier Division,108.21,75
Lautaro Martínez,Argentina,28,Inter,ST,165.0,Serie A,88.17,60
Antoine Griezmann,France,35,Orlando City,"AMF, RW, LW, ST",168.0,MLS,102.81,70
Bruno Fernandes,Portugal,31,Manchester United,"AMF, RW",165.0,Premier Division,88.17,60
Luka Modric,Croatia,40,AC Milan,AMF,168.0,Serie A,102.81,70
Jan Oblak,Slovenia,33,Atletico Madrid,GK,164.0,First Division,83.77,60
Ronald Araujo,Uruguay,27,Liverpool,"CB, RB",165.0,Premier Division,88.17,60
Eduardo Camavinga,France,23,Real Madrid,"LB, CDM",167.0,First Division,97.68,70
Heung-Min Son,South Korea,34,LAFC,"LW, ST",166.0,MLS,92.80,65
Phil Foden,England,26,Manchester City,"AMF, RW, LW",166.0,Premier Division,92.80,65
Victor Osimhen,Nigeria,27,Galatasaray,ST,163.0,Super League,79.59,55
Leroy Sané,Germany,30,Galatasaray,"AMF, RW, LW",163.0,Super League,79.59,55
