C:\Users\Mert\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Iter 0 | Loss (Bid): 510965.3125 | Loss (Swap): 1214067.6250 | Avg Return: 1613.69
Iter 1 | Loss (Bid): 479502.5000 | Loss (Swap): 1072418.5000 | Avg Return: 1629.17
Iter 2 | Loss (Bid): 315634.9062 | Loss (Swap): 431797.6250 | Avg Return: 1638.76
Iter 3 | Loss (Bid): 329791.8750 | Loss (Swap): 452757.5000 | Avg Return: 1645.05
Iter 4 | Loss (Bid): 153220.9062 | Loss (Swap): 369031.9375 | Avg Return: 1661.76
Iter 5 | Loss (Bid): 216414.7344 | Loss (Swap): 395419.2500 | Avg Return: 1659.03
Iter 6 | Loss (Bid): 211473.3281 | Loss (Swap): 392967.5000 | Avg Return: 1643.85
Iter 7 | Loss (Bid): 187179.2812 | Loss (Swap): 401638.1562 | Avg Return: 1658.91
Iter 8 | Loss (Bid): 135584.3906 | Loss (Swap): 394941.3750 | Avg Return: 1657.38
Iter 9 | Loss (Bid): 154258.6406 | Loss (Swap): 465065.5625 | Avg Return: 1661.15
Iter 10 | Loss (Bid): 183671.9062 | Loss (Swap): 363446.3750 | Avg Return: 1640.81Iter 11 | Loss (Bid): 156655.3125 | Loss (Swap): 436414.2500 | Avg Return: 1642.76Iter 12 | Loss (Bid): 126490.7734 | Loss (Swap): 426527.4062 | Avg Return: 1649.49Iter 13 | Loss (Bid): 58208.1289 | Loss (Swap): 442725.4375 | Avg Return: 1653.39
Iter 14 | Loss (Bid): 130506.6797 | Loss (Swap): 312653.3438 | Avg Return: 1638.73Iter 15 | Loss (Bid): 78611.4844 | Loss (Swap): 304545.1250 | Avg Return: 1607.49
Iter 16 | Loss (Bid): 68449.7656 | Loss (Swap): 279557.8125 | Avg Return: 1624.94
Iter 17 | Loss (Bid): 44667.4922 | Loss (Swap): 301764.0000 | Avg Return: 1646.02
Iter 18 | Loss (Bid): 51195.8633 | Loss (Swap): 451050.8125 | Avg Return: 1634.08
Iter 19 | Loss (Bid): 24311.6152 | Loss (Swap): 322431.9062 | Avg Return: 1631.09
Iter 20 | Loss (Bid): 20613.6406 | Loss (Swap): 197374.8750 | Avg Return: 1618.93
Iter 21 | Loss (Bid): 18194.1660 | Loss (Swap): 186473.3125 | Avg Return: 1582.51
Iter 22 | Loss (Bid): 21008.4824 | Loss (Swap): 365662.9375 | Avg Return: 1573.59
Iter 23 | Loss (Bid): 6949.2334 | Loss (Swap): 365662.9375 | Avg Return: 1571.17
Iter 24 | Loss (Bid): 9056.6934 | Loss (Swap): 365662.9375 | Avg Return: 1574.86
Iter 25 | Loss (Bid): 7106.1953 | Loss (Swap): 365662.9375 | Avg Return: 1573.28
Iter 26 | Loss (Bid): 3968.9858 | Loss (Swap): 365662.9375 | Avg Return: 1576.48
Iter 27 | Loss (Bid): 2014.0750 | Loss (Swap): 365662.9375 | Avg Return: 1575.53
Iter 28 | Loss (Bid): 1114.3365 | Loss (Swap): 365662.9375 | Avg Return: 1576.42
Iter 29 | Loss (Bid): 1026.7622 | Loss (Swap): 365662.9375 | Avg Return: 1569.40
Iter 30 | Loss (Bid): 742.4338 | Loss (Swap): 365662.9375 | Avg Return: 1576.19
Iter 31 | Loss (Bid): 410.6586 | Loss (Swap): 365662.9375 | Avg Return: 1576.54
Iter 32 | Loss (Bid): 406.6852 | Loss (Swap): 365662.9375 | Avg Return: 1574.13
Iter 33 | Loss (Bid): 293.4604 | Loss (Swap): 365662.9375 | Avg Return: 1570.90
Iter 34 | Loss (Bid): 264.2450 | Loss (Swap): 365662.9375 | Avg Return: 1571.68
Iter 35 | Loss (Bid): 243.5710 | Loss (Swap): 365662.9375 | Avg Return: 1572.82
Iter 36 | Loss (Bid): 186.9366 | Loss (Swap): 365662.9375 | Avg Return: 1573.16
Iter 37 | Loss (Bid): 152.5802 | Loss (Swap): 365662.9375 | Avg Return: 1572.23
Iter 38 | Loss (Bid): 175.3458 | Loss (Swap): 365662.9375 | Avg Return: 1576.45
Iter 39 | Loss (Bid): 139.1842 | Loss (Swap): 365662.9375 | Avg Return: 1572.16
Iter 40 | Loss (Bid): 128.4872 | Loss (Swap): 365662.9375 | Avg Return: 1577.20
Iter 41 | Loss (Bid): 123.8708 | Loss (Swap): 365662.9375 | Avg Return: 1574.92
Iter 42 | Loss (Bid): 85.5906 | Loss (Swap): 365662.9375 | Avg Return: 1574.89
Iter 43 | Loss (Bid): 105.2318 | Loss (Swap): 365662.9375 | Avg Return: 1574.28
Iter 44 | Loss (Bid): 107.4952 | Loss (Swap): 365662.9375 | Avg Return: 1574.98
Iter 45 | Loss (Bid): 80.3234 | Loss (Swap): 365662.9375 | Avg Return: 1575.37
Iter 46 | Loss (Bid): 79.2680 | Loss (Swap): 365662.9375 | Avg Return: 1572.02
Iter 47 | Loss (Bid): 51.0353 | Loss (Swap): 365662.9375 | Avg Return: 1573.75
