C:\Users\Mert\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Iter 0 | Loss: 709773.2500 | Avg Return: 1691.16
Iter 1 | Loss: 721436.5625 | Avg Return: 1693.70
Iter 2 | Loss: 697098.3125 | Avg Return: 1691.25
Iter 3 | Loss: 750598.5000 | Avg Return: 1699.67
Iter 4 | Loss: 735353.5000 | Avg Return: 1696.06
Iter 5 | Loss: 766281.0625 | Avg Return: 1691.48
Iter 6 | Loss: 645755.3750 | Avg Return: 1697.93
Iter 7 | Loss: 645412.5000 | Avg Return: 1693.39
Iter 8 | Loss: 550376.4375 | Avg Return: 1697.00
Iter 9 | Loss: 450335.8750 | Avg Return: 1699.67
Iter 10 | Loss: 432601.8750 | Avg Return: 1701.86Iter 11 | Loss: 306137.0938 | Avg Return: 1694.47Iter 12 | Loss: 246333.0312 | Avg Return: 1694.92Iter 13 | Loss: 197851.0156 | Avg Return: 1698.02Iter 14 | Loss: 105654.0312 | Avg Return: 1700.00Iter 15 | Loss: 77655.3594 | Avg Return: 1700.86
Iter 16 | Loss: 48465.5273 | Avg Return: 1693.86
Iter 17 | Loss: 15621.2676 | Avg Return: 1696.81
Iter 18 | Loss: 8175.3223 | Avg Return: 1698.46
Iter 19 | Loss: 559.8251 | Avg Return: 1697.04
Iter 20 | Loss: 514.8513 | Avg Return: 1701.73
Iter 21 | Loss: 452.2344 | Avg Return: 1695.98
Iter 22 | Loss: 312.5480 | Avg Return: 1698.64
Iter 23 | Loss: 337.6895 | Avg Return: 1698.24
Iter 24 | Loss: 294.8593 | Avg Return: 1695.83
Iter 25 | Loss: 288.7883 | Avg Return: 1698.35
Iter 26 | Loss: 263.6887 | Avg Return: 1695.43
Iter 27 | Loss: 342.8775 | Avg Return: 1698.86
Iter 28 | Loss: 301.0988 | Avg Return: 1694.90
Iter 29 | Loss: 347.6090 | Avg Return: 1698.55
Iter 30 | Loss: 291.1268 | Avg Return: 1691.79
Iter 31 | Loss: 301.4080 | Avg Return: 1698.53
Iter 32 | Loss: 288.0531 | Avg Return: 1701.80
Iter 33 | Loss: 316.0121 | Avg Return: 1700.63
Iter 34 | Loss: 345.4659 | Avg Return: 1703.15
Iter 35 | Loss: 229.9318 | Avg Return: 1700.36
Iter 36 | Loss: 246.0641 | Avg Return: 1699.25
Iter 37 | Loss: 264.7699 | Avg Return: 1703.49
Iter 38 | Loss: 245.2887 | Avg Return: 1699.64
Iter 39 | Loss: 304.9629 | Avg Return: 1694.35
Iter 40 | Loss: 268.6042 | Avg Return: 1695.71
Iter 41 | Loss: 280.5972 | Avg Return: 1697.37
Iter 42 | Loss: 270.3908 | Avg Return: 1699.79
Iter 43 | Loss: 241.6347 | Avg Return: 1700.27
Iter 44 | Loss: 261.0276 | Avg Return: 1703.49
Iter 45 | Loss: 266.5556 | Avg Return: 1693.51
Iter 46 | Loss: 278.7347 | Avg Return: 1696.69
Iter 47 | Loss: 296.3639 | Avg Return: 1699.60
Iter 48 | Loss: 267.0378 | Avg Return: 1697.89
Iter 49 | Loss: 334.7368 | Avg Return: 1699.02
Iter 50 | Loss: 280.6714 | Avg Return: 1704.07
Iter 51 | Loss: 232.1362 | Avg Return: 1703.62
Iter 52 | Loss: 284.6113 | Avg Return: 1696.31
Iter 53 | Loss: 263.1223 | Avg Return: 1697.32
Iter 54 | Loss: 302.3147 | Avg Return: 1696.26
Iter 55 | Loss: 253.9191 | Avg Return: 1694.87
Iter 56 | Loss: 249.1462 | Avg Return: 1697.01
Iter 57 | Loss: 301.7847 | Avg Return: 1698.14
Iter 58 | Loss: 241.3607 | Avg Return: 1704.04
Iter 59 | Loss: 201.3012 | Avg Return: 1694.76
Iter 60 | Loss: 228.0160 | Avg Return: 1695.08
Iter 61 | Loss: 290.2373 | Avg Return: 1697.98
Iter 62 | Loss: 261.0930 | Avg Return: 1704.50
Iter 63 | Loss: 262.4072 | Avg Return: 1697.15
Iter 64 | Loss: 330.8400 | Avg Return: 1697.85
Iter 65 | Loss: 369.9935 | Avg Return: 1698.48
Iter 66 | Loss: 232.4595 | Avg Return: 1697.72
Iter 67 | Loss: 294.9810 | Avg Return: 1697.82
Iter 68 | Loss: 231.8171 | Avg Return: 1691.58
Iter 69 | Loss: 245.6021 | Avg Return: 1702.70
Iter 70 | Loss: 286.3359 | Avg Return: 1695.62
Iter 71 | Loss: 263.0014 | Avg Return: 1698.39
Iter 72 | Loss: 230.6720 | Avg Return: 1696.04
Iter 73 | Loss: 202.9973 | Avg Return: 1697.18
Iter 74 | Loss: 281.5735 | Avg Return: 1697.76
Iter 75 | Loss: 306.8997 | Avg Return: 1699.37
Iter 76 | Loss: 297.0075 | Avg Return: 1701.79
Iter 77 | Loss: 298.2304 | Avg Return: 1694.17
Iter 78 | Loss: 268.7518 | Avg Return: 1700.35
Iter 79 | Loss: 191.5029 | Avg Return: 1702.17
Iter 80 | Loss: 230.1126 | Avg Return: 1700.81
Iter 81 | Loss: 291.0191 | Avg Return: 1698.01
Iter 82 | Loss: 275.8391 | Avg Return: 1698.46
Iter 83 | Loss: 261.3255 | Avg Return: 1700.51
Iter 84 | Loss: 231.2048 | Avg Return: 1697.42
Iter 85 | Loss: 260.0921 | Avg Return: 1700.46
Iter 86 | Loss: 201.6245 | Avg Return: 1697.37
Iter 87 | Loss: 231.7657 | Avg Return: 1694.62
Iter 88 | Loss: 249.0636 | Avg Return: 1701.32
Iter 89 | Loss: 275.9008 | Avg Return: 1696.52
Iter 90 | Loss: 269.3735 | Avg Return: 1700.57
Iter 91 | Loss: 199.0453 | Avg Return: 1697.81
Iter 92 | Loss: 225.9788 | Avg Return: 1696.10
Iter 93 | Loss: 177.9933 | Avg Return: 1695.02
Iter 94 | Loss: 170.3591 | Avg Return: 1703.20
Iter 95 | Loss: 177.9718 | Avg Return: 1698.80
Iter 96 | Loss: 236.6725 | Avg Return: 1700.10
Iter 97 | Loss: 140.9662 | Avg Return: 1698.66
Iter 98 | Loss: 223.3613 | Avg Return: 1695.82
Iter 99 | Loss: 262.5639 | Avg Return: 1697.95
Iter 100 | Loss: 198.1494 | Avg Return: 1695.90
Iter 101 | Loss: 211.5004 | Avg Return: 1699.17
Iter 102 | Loss: 245.2525 | Avg Return: 1698.17
Iter 103 | Loss: 4.4414 | Avg Return: 1698.75
Iter 104 | Loss: 245.8968 | Avg Return: 1703.86
Iter 105 | Loss: 223.9729 | Avg Return: 1695.03
Iter 106 | Loss: 184.7584 | Avg Return: 1701.56
Iter 107 | Loss: 268.8629 | Avg Return: 1697.24
Iter 108 | Loss: 220.2916 | Avg Return: 1698.91
Iter 109 | Loss: 233.7539 | Avg Return: 1692.73
Iter 110 | Loss: 239.9314 | Avg Return: 1695.82
Iter 111 | Loss: 206.2833 | Avg Return: 1699.93
Iter 112 | Loss: 268.5777 | Avg Return: 1699.03
Iter 113 | Loss: 220.4519 | Avg Return: 1697.96
Iter 114 | Loss: 277.2739 | Avg Return: 1696.68
Iter 115 | Loss: 207.0556 | Avg Return: 1700.42
