C:\Users\Mert\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Iter 0 | Loss: 899804.3750 | Avg Return: 1650.03
Iter 1 | Loss: 862720.4375 | Avg Return: 1647.61
Iter 2 | Loss: 785045.7500 | Avg Return: 1649.61
Iter 3 | Loss: 654377.3750 | Avg Return: 1643.48
Iter 4 | Loss: 479200.0000 | Avg Return: 1647.65
Iter 5 | Loss: 277449.5625 | Avg Return: 1646.52
Iter 6 | Loss: 49653.0000 | Avg Return: 1646.49
Iter 7 | Loss: 38003.4219 | Avg Return: 1647.83
Iter 8 | Loss: 8764.7031 | Avg Return: 1647.36
Iter 9 | Loss: 847.4561 | Avg Return: 1647.77
Iter 10 | Loss: 431.0177 | Avg Return: 1645.42
Iter 11 | Loss: 186.6686 | Avg Return: 1643.41
Iter 12 | Loss: 250.6250 | Avg Return: 1650.82
Iter 13 | Loss: 222.1722 | Avg Return: 1651.01
Iter 14 | Loss: 163.7597 | Avg Return: 1654.12
Iter 15 | Loss: 174.6031 | Avg Return: 1659.46
Iter 16 | Loss: 229.4985 | Avg Return: 1663.83
Iter 17 | Loss: 242.0130 | Avg Return: 1672.51
Iter 18 | Loss: 247.8077 | Avg Return: 1678.51
Iter 19 | Loss: 262.9125 | Avg Return: 1690.27
Iter 20 | Loss: 312.5577 | Avg Return: 1688.36
Iter 21 | Loss: 332.5251 | Avg Return: 1696.09
Iter 22 | Loss: 357.6107 | Avg Return: 1701.96
Iter 23 | Loss: 281.9413 | Avg Return: 1705.17
Iter 24 | Loss: 322.8846 | Avg Return: 1710.89
Iter 25 | Loss: 156.8441 | Avg Return: 1710.71
Iter 26 | Loss: 316.3194 | Avg Return: 1721.16
Iter 27 | Loss: 317.2590 | Avg Return: 1729.47
Iter 28 | Loss: 319.5990 | Avg Return: 1728.49
Iter 29 | Loss: 286.0672 | Avg Return: 1734.00
Iter 30 | Loss: 278.9077 | Avg Return: 1740.96
Iter 31 | Loss: 431.9235 | Avg Return: 1740.37
Iter 32 | Loss: 384.9586 | Avg Return: 1752.98
Iter 33 | Loss: 292.9900 | Avg Return: 1753.14
Iter 34 | Loss: 288.1790 | Avg Return: 1754.38
Iter 35 | Loss: 272.0732 | Avg Return: 1758.35
Iter 36 | Loss: 317.2518 | Avg Return: 1769.90
Iter 37 | Loss: 204.8503 | Avg Return: 1765.40
